id,category,term,origin,relation,definition,example,exampleSource,otherMeanings,sourcePages,dictionaryCode
relation-406858-2,어휘 관계,누르다,,동음이의어 안에서 다의 관계,마음대로 행동하지 못하도록 힘이나 규제를 가하다.,윗사람이라고 아랫사람을 힘으로 눌러서는 함께 일을 하기가 어렵다.,표준국어대사전 용례,황금이나 놋쇠의 빛깔과 같이 다소 밝고 탁하다.,1,406858
relation-406858-3,어휘 관계,누르다,,동음이의어 안에서 다의 관계,자신의 감정이나 생각을 밖으로 드러내지 않고 참다.,분노를 누르다.,표준국어대사전 용례,황금이나 놋쇠의 빛깔과 같이 다소 밝고 탁하다.,1,406858
relation-406858-4,어휘 관계,누르다,,동음이의어 안에서 다의 관계,"경기나 경선 따위에서, 상대를 제압하여 이기다.",우리나라 축구팀이 일본 팀을 누르고 우승했다.,표준국어대사전 용례,황금이나 놋쇠의 빛깔과 같이 다소 밝고 탁하다.,1,406858
relation-70434-1,어휘 관계,누르다,,동음이의 관계,황금이나 놋쇠의 빛깔과 같이 다소 밝고 탁하다.,누른 잎.,표준국어대사전 용례,"물체의 전체 면이나 부분에 대하여 힘이나 무게를 가하다. | 마음대로 행동하지 못하도록 힘이나 규제를 가하다. | 자신의 감정이나 생각을 밖으로 드러내지 않고 참다. | 경기나 경선 따위에서, 상대를 제압하여 이기다.",2,70434
relation-409998-1,어휘 관계,눈,,다의 관계,"빛의 자극을 받아 물체를 볼 수 있는 감각 기관. 척추동물의 경우 안구ㆍ시각 신경 따위로 되어 있어, 외계에서 들어온 빛은 각막ㆍ눈동자ㆍ수정체를 지나 유리체를 거쳐 망막에 이르는데, 그 사이에 굴광체(屈光體)에 의하여 굴절되어 망막에 상을 맺는다.",눈이 맑다.,표준국어대사전 용례,,2,409998
relation-409998-2,어휘 관계,눈,,다의 관계,"물체의 존재나 형상을 인식하는 눈의 능력. 눈으로 두 광점을 구별할 수 있는 능력으로, 광도나 그 밖의 조건이 동일할 때, 시각 세포의 분포 밀도가 클수록 시력이 좋다.",눈이 좋다.,표준국어대사전 용례,,2,409998
relation-413242-1,어휘 관계,달다,,동음이의어 안에서 다의 관계,타지 않는 단단한 물체가 열로 몹시 뜨거워지다.,다리미가 달다.,표준국어대사전 용례,물건을 일정한 곳에 걸거나 매어 놓다. | 글이나 말에 설명 따위를 덧붙이거나 보태다. | 이름이나 제목 따위를 정하여 붙이다. | 윷판에서 처음으로 말을 놓다.,"2,3",413242
relation-413242-2,어휘 관계,달다,,동음이의어 안에서 다의 관계,물기가 많은 음식이나 탕약 따위에 열을 가하여 물이 졸아들다.,오랫동안 끓이자 탕약이 걸쭉하게 달았다.,PDF 뜻풀이를 바탕으로 작성한 학습용 문장,물건을 일정한 곳에 걸거나 매어 놓다. | 글이나 말에 설명 따위를 덧붙이거나 보태다. | 이름이나 제목 따위를 정하여 붙이다. | 윷판에서 처음으로 말을 놓다.,"2,3",413242
relation-413242-3,어휘 관계,달다,,동음이의어 안에서 다의 관계,열이 나거나 부끄러워서 몸이나 몸의 일부가 뜨거워지다.,혈관마다 일시에 더운 피가 끓어올라 얼굴이 화끈 달았다.,표준국어대사전 용례,물건을 일정한 곳에 걸거나 매어 놓다. | 글이나 말에 설명 따위를 덧붙이거나 보태다. | 이름이나 제목 따위를 정하여 붙이다. | 윷판에서 처음으로 말을 놓다.,"2,3",413242
relation-413242-4,어휘 관계,달다,,동음이의어 안에서 다의 관계,입 안이나 코 안이 마르고 뜨거워지다.,긴장한 탓에 입안이 바싹 달았다.,PDF 뜻풀이를 바탕으로 작성한 학습용 문장,물건을 일정한 곳에 걸거나 매어 놓다. | 글이나 말에 설명 따위를 덧붙이거나 보태다. | 이름이나 제목 따위를 정하여 붙이다. | 윷판에서 처음으로 말을 놓다.,"2,3",413242
relation-413242-5,어휘 관계,달다,,동음이의어 안에서 다의 관계,안타깝거나 조마조마하여 마음이 몹시 조급해지다.,마음이 달다.,표준국어대사전 용례,물건을 일정한 곳에 걸거나 매어 놓다. | 글이나 말에 설명 따위를 덧붙이거나 보태다. | 이름이나 제목 따위를 정하여 붙이다. | 윷판에서 처음으로 말을 놓다.,"2,3",413242
relation-413408-1,어휘 관계,달다,,동음이의어 안에서 다의 관계,물건을 일정한 곳에 걸거나 매어 놓다.,배에 돛을 달다.,표준국어대사전 용례,타지 않는 단단한 물체가 열로 몹시 뜨거워지다. | 물기가 많은 음식이나 탕약 따위에 열을 가하여 물이 졸아들다. | 열이 나거나 부끄러워서 몸이나 몸의 일부가 뜨거워지다. | 입 안이나 코 안이 마르고 뜨거워지다. | 안타깝거나 조마조마하여 마음이 몹시 조급해지다.,3,413408
relation-413408-4,어휘 관계,달다,,동음이의어 안에서 다의 관계,글이나 말에 설명 따위를 덧붙이거나 보태다.,본문에 각주를 달다.,표준국어대사전 용례,타지 않는 단단한 물체가 열로 몹시 뜨거워지다. | 물기가 많은 음식이나 탕약 따위에 열을 가하여 물이 졸아들다. | 열이 나거나 부끄러워서 몸이나 몸의 일부가 뜨거워지다. | 입 안이나 코 안이 마르고 뜨거워지다. | 안타깝거나 조마조마하여 마음이 몹시 조급해지다.,3,413408
relation-413408-5,어휘 관계,달다,,동음이의어 안에서 다의 관계,이름이나 제목 따위를 정하여 붙이다.,작품에 제목을 달다.,표준국어대사전 용례,타지 않는 단단한 물체가 열로 몹시 뜨거워지다. | 물기가 많은 음식이나 탕약 따위에 열을 가하여 물이 졸아들다. | 열이 나거나 부끄러워서 몸이나 몸의 일부가 뜨거워지다. | 입 안이나 코 안이 마르고 뜨거워지다. | 안타깝거나 조마조마하여 마음이 몹시 조급해지다.,3,413408
relation-413408-7,어휘 관계,달다,,동음이의어 안에서 다의 관계,윷판에서 처음으로 말을 놓다.,우리 편이 먼저 막동을 달았다.,표준국어대사전 용례,타지 않는 단단한 물체가 열로 몹시 뜨거워지다. | 물기가 많은 음식이나 탕약 따위에 열을 가하여 물이 졸아들다. | 열이 나거나 부끄러워서 몸이나 몸의 일부가 뜨거워지다. | 입 안이나 코 안이 마르고 뜨거워지다. | 안타깝거나 조마조마하여 마음이 몹시 조급해지다.,3,413408
confusable-80022-5,어휘 관계,대다,,혼동하기 쉬운 어휘: 대다 / 데다,"차, 배 따위의 탈것을 멈추어 서게 하다.",항구에 배를 대다.,표준국어대사전 용례,데다: 불이나 뜨거운 기운으로 말미암아 살이 상하다. 또는 그렇게 하다.,24,80022
confusable-83819-1,어휘 관계,데다,,혼동하기 쉬운 어휘: 대다 / 데다,불이나 뜨거운 기운으로 말미암아 살이 상하다. 또는 그렇게 하다.,팔이 불에 데다.,표준국어대사전 용례,"대다: 차, 배 따위의 탈것을 멈추어 서게 하다.",24,83819
relation-416106-1,어휘 관계,되다,,동음이의어 안에서 다의 관계,반죽이나 밥 따위가 물기가 적어 빡빡하다.,밥이 너무 되다.,표준국어대사전 용례,"새로운 신분이나 지위를 가지다. | 다른 것으로 바뀌거나 변하다. | 어떤 때나 시기, 상태에 이르다. | 일정한 수량에 차거나 이르다. | 어떤 대상의 수량, 요금 따위가 얼마이거나 장소가 어디이다. | 사람으로서의 품격과 덕을 갖추다. | 어떠한 심리적 상태에 놓이다. | 어떤 사람과 어떤 관계를 맺고 있다.","2,22",416106
relation-416106-2,어휘 관계,되다,,동음이의어 안에서 다의 관계,줄 따위가 단단하고 팽팽하다.,새끼줄로 되게 묶어라.,표준국어대사전 용례,"새로운 신분이나 지위를 가지다. | 다른 것으로 바뀌거나 변하다. | 어떤 때나 시기, 상태에 이르다. | 일정한 수량에 차거나 이르다. | 어떤 대상의 수량, 요금 따위가 얼마이거나 장소가 어디이다. | 사람으로서의 품격과 덕을 갖추다. | 어떠한 심리적 상태에 놓이다. | 어떤 사람과 어떤 관계를 맺고 있다.","2,22,23",416106
relation-90723-1,어휘 관계,되다,,동음이의어 안에서 다의 관계,새로운 신분이나 지위를 가지다.,커서 의사가 되고 싶다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-10,어휘 관계,되다,,동음이의어 안에서 다의 관계,어떤 형태나 구조로 이루어지다.,타원형으로 된 탁자.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,22,90723
relation-90723-11,어휘 관계,되다,,동음이의어 안에서 다의 관계,문서나 서류에 어떤 사람이나 조직의 이름이 쓰이다.,전 시민의 이름으로 된 청원서.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,22,90723
relation-90723-12,어휘 관계,되다,,동음이의어 안에서 다의 관계,어떤 사물이나 현상이 생겨나거나 만들어지다.,밥이 맛있게 되다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,22,90723
relation-90723-15,어휘 관계,되다,,동음이의어 안에서 다의 관계,어떤 사물이 제 기능을 다 하거나 수명이 다하다.,기계가 못 쓰게 되다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,22,90723
relation-90723-2,어휘 관계,되다,,동음이의어 안에서 다의 관계,다른 것으로 바뀌거나 변하다.,얼음이 물이 되다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-3,어휘 관계,되다,,동음이의어 안에서 다의 관계,"어떤 때나 시기, 상태에 이르다.",시집갈 나이가 다 된 과년한 딸.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-4,어휘 관계,되다,,동음이의어 안에서 다의 관계,일정한 수량에 차거나 이르다.,이 안에 찬성하는 사람이 50명이 되었다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-5,어휘 관계,되다,,동음이의어 안에서 다의 관계,"어떤 대상의 수량, 요금 따위가 얼마이거나 장소가 어디이다.",요금이 만 원이 되겠습니다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-6,어휘 관계,되다,,동음이의어 안에서 다의 관계,사람으로서의 품격과 덕을 갖추다.,그는 제대로 된 사람이다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-7,어휘 관계,되다,,동음이의어 안에서 다의 관계,어떠한 심리적 상태에 놓이다.,마음속으로 무척 걱정이 되었다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-8,어휘 관계,되다,,동음이의어 안에서 다의 관계,어떤 사람과 어떤 관계를 맺고 있다.,이 사람은 제 아우가 됩니다.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90723-9,어휘 관계,되다,,동음이의어 안에서 다의 관계,어떤 재료나 성분으로 이루어지다.,나무로 된 책상.,표준국어대사전 용례,반죽이나 밥 따위가 물기가 적어 빡빡하다. | 줄 따위가 단단하고 팽팽하다.,21,90723
relation-90897-11,어휘 관계,두다,,다의 관계,"인정, 사정 따위를 헤아려 주다.",우리는 그런 비열한 짓에는 인정을 두지 않는다.,표준국어대사전 용례,,3,90897
relation-90897-13,어휘 관계,두다,,다의 관계,"행위의 준거점, 목표, 근거 따위를 설정하다.",자연 보호에 목적을 두다.,표준국어대사전 용례,,3,90897
relation-90897-14,어휘 관계,두다,,다의 관계,어떤 것을 일정한 방향으로 향하게 하다.,강을 앞에 두다.,표준국어대사전 용례,,3,90897
relation-90897-15,어휘 관계,두다,,다의 관계,사용하지 않고 보관하거나 간직하다.,그것을 잘 두었다가 요긴할 때 써라.,표준국어대사전 용례,,4,90897
relation-90897-16,어휘 관계,두다,,다의 관계,어떤 일을 처리하지 않고 미루다.,그 사건은 두었다가 나중에 처리합시다.,표준국어대사전 용례,,4,90897
relation-90897-17,어휘 관계,두다,,다의 관계,시간적 여유나 공간적 간격 따위를 주다.,간격을 두고 말을 하다.,표준국어대사전 용례,,4,90897
relation-90897-18,어휘 관계,두다,,다의 관계,어떤 상황이 어떤 시간이나 기간에 걸치다.,세 시간을 두고 생각하다.,표준국어대사전 용례,,4,90897
relation-90897-2,어휘 관계,두다,,다의 관계,어떤 상황이나 상태 속에 놓다.,승리를 눈앞에 두다.,표준국어대사전 용례,,"2,3",90897
relation-90897-20,어휘 관계,두다,,다의 관계,어떤 사람을 가족이나 친인척으로 가지다.,자식을 셋 두었다.,표준국어대사전 용례,,4,90897
relation-90897-21,어휘 관계,두다,,다의 관계,"어떤 것을 논쟁이나 감정, 언급의 대상으로 삼다.",황소 한 마리를 두고 씨름판을 벌이다.,표준국어대사전 용례,,4,90897
relation-90897-22,어휘 관계,두다,,다의 관계,앞의 것을 부정하고 뒤의 것을 긍정하거나 선택할 때 쓴다.,큰길을 두고 샛길로 가다.,표준국어대사전 용례,,4,90897
relation-90897-23,어휘 관계,두다,,다의 관계,바둑이나 장기 따위의 놀이를 하다. 또는 그 알을 놓거나 말을 쓰다.,바둑을 두다.,표준국어대사전 용례,,4,90897
relation-90897-24,어휘 관계,두다,,다의 관계,세상이나 사람들과 밀접한 관계를 갖지 않고 얼마간 떨어져 있다.,그는 그녀를 좀 더 객관적으로 지켜보기 위해서 일부러 그녀에게 일정한 거리를 두었다.,표준국어대사전 용례,,"4,5",90897
relation-90897-25,어휘 관계,두다,,다의 관계,어떤 대상을 일정한 상태로 있게 하다.,아이를 절대로 그 상태로 두어서는 안 됩니다.,표준국어대사전 용례,,"4,5",90897
relation-90897-26,어휘 관계,두다,,다의 관계,앞말이 뜻하는 행동을 끝내고 그 결과를 유지함을 나타내는 말. 주로 그 행동이 어떤 다른 일에 미리 대비하기 위한 것임을 보일 때 쓴다.,불을 켜 두고 잠이 들었다.,표준국어대사전 용례,,5,90897
relation-90897-3,어휘 관계,두다,,다의 관계,가져가거나 데려가지 않고 남기거나 버리다.,집에 두고 온 어린 자식을 생각하면 가슴이 미어진다.,표준국어대사전 용례,,"2,3",90897
relation-90897-4,어휘 관계,두다,,다의 관계,기본 음식에 딴 재료를 섞어 넣다.,쌀밥에 팥을 두다.,표준국어대사전 용례,,"2,3",90897
relation-90897-5,어휘 관계,두다,,다의 관계,이부자리나 옷 따위에 솜 따위를 넣다.,버선에 솜을 두다.,표준국어대사전 용례,,3,90897
relation-90897-8,어휘 관계,두다,,다의 관계,"직책이나 조직, 기구 따위를 설치하다.",세계 각지에 지사를 두다.,표준국어대사전 용례,,3,90897
relation-90897-9,어휘 관계,두다,,다의 관계,중요성이나 가치 따위를 부여하다.,경제 문제에 초점을 두다.,표준국어대사전 용례,,3,90897
relation-415398-2,어휘 관계,드리다,,동음이의 관계,"윗사람에게 그 사람을 높여 말이나, 인사, 부탁, 약속, 축하 따위를 하다.",부모님께 문안을 드리다.,표준국어대사전 용례,"섞인 잡것을 없애기 위하여 떨어 놓은 곡식을 바람에 날리다. | 여러 가닥의 실이나 끈을 하나로 땋거나 꼬다. | 땋은 머리 끝에 댕기를 물리다. | 집에 문, 마루, 벽장, 광 따위를 만들거나 구조를 바꾸어 꾸미다. | 물건 팔기를 그만두고 가게 문을 닫다.",5,415398
relation-92687-1,어휘 관계,드리다,,동음이의 관계,섞인 잡것을 없애기 위하여 떨어 놓은 곡식을 바람에 날리다.,농부는 타작한 곡식을 바람에 드렸다.,PDF 뜻풀이를 바탕으로 작성한 학습용 문장,"윗사람에게 그 사람을 높여 말이나, 인사, 부탁, 약속, 축하 따위를 하다. | 여러 가닥의 실이나 끈을 하나로 땋거나 꼬다. | 땋은 머리 끝에 댕기를 물리다. | 집에 문, 마루, 벽장, 광 따위를 만들거나 구조를 바꾸어 꾸미다. | 물건 팔기를 그만두고 가게 문을 닫다.",5,92687
relation-92688-1,어휘 관계,드리다,,동음이의어 안에서 다의 관계,여러 가닥의 실이나 끈을 하나로 땋거나 꼬다.,짚에다가 삼노를 드려 든든한 밧줄을 꼬다.,표준국어대사전 용례,"윗사람에게 그 사람을 높여 말이나, 인사, 부탁, 약속, 축하 따위를 하다. | 섞인 잡것을 없애기 위하여 떨어 놓은 곡식을 바람에 날리다. | 집에 문, 마루, 벽장, 광 따위를 만들거나 구조를 바꾸어 꾸미다. | 물건 팔기를 그만두고 가게 문을 닫다.",5,92688
relation-92688-2,어휘 관계,드리다,,동음이의어 안에서 다의 관계,땋은 머리 끝에 댕기를 물리다.,머리에 댕기를 드리다.,표준국어대사전 용례,"윗사람에게 그 사람을 높여 말이나, 인사, 부탁, 약속, 축하 따위를 하다. | 섞인 잡것을 없애기 위하여 떨어 놓은 곡식을 바람에 날리다. | 집에 문, 마루, 벽장, 광 따위를 만들거나 구조를 바꾸어 꾸미다. | 물건 팔기를 그만두고 가게 문을 닫다.",5,92688
relation-92735-1,어휘 관계,드리다,,동음이의 관계,"집에 문, 마루, 벽장, 광 따위를 만들거나 구조를 바꾸어 꾸미다.",아이들 방에 벽장을 드리다.,표준국어대사전 용례,"윗사람에게 그 사람을 높여 말이나, 인사, 부탁, 약속, 축하 따위를 하다. | 섞인 잡것을 없애기 위하여 떨어 놓은 곡식을 바람에 날리다. | 여러 가닥의 실이나 끈을 하나로 땋거나 꼬다. | 땋은 머리 끝에 댕기를 물리다. | 물건 팔기를 그만두고 가게 문을 닫다.",5,92735
relation-92736-1,어휘 관계,드리다,,동음이의 관계,물건 팔기를 그만두고 가게 문을 닫다.,열두 시에 가게를 드린다.,표준국어대사전 용례,"윗사람에게 그 사람을 높여 말이나, 인사, 부탁, 약속, 축하 따위를 하다. | 섞인 잡것을 없애기 위하여 떨어 놓은 곡식을 바람에 날리다. | 여러 가닥의 실이나 끈을 하나로 땋거나 꼬다. | 땋은 머리 끝에 댕기를 물리다. | 집에 문, 마루, 벽장, 광 따위를 만들거나 구조를 바꾸어 꾸미다.",4,92736
relation-93761-1,어휘 관계,들다,,다의 관계,밖에서 속이나 안으로 향해 가거나 오거나 하다.,사랑에 들다.,표준국어대사전 용례,,4,93761
relation-93761-3,어휘 관계,들다,,다의 관계,방이나 집 따위에 있거나 거처를 정해 머무르게 되다.,어제 호텔에 든 손님.,표준국어대사전 용례,,4,93761
relation-93761-5,어휘 관계,들다,,다의 관계,수면을 취하기 위한 장소에 가거나 오다.,이불 속에 들다.,표준국어대사전 용례,,4,93761
relation-93761-6,어휘 관계,들다,,다의 관계,"어떤 일에 돈, 시간, 노력, 물자 따위가 쓰이다.",잔치 음식에는 품이 많이 든다.,표준국어대사전 용례,,4,93761
relation-93761-7,어휘 관계,들다,,다의 관계,"물감, 색깔, 물기, 소금기가 스미거나 배다.",설악산에 단풍이 들다.,표준국어대사전 용례,,4,93761
relation-93761-8,어휘 관계,들다,,다의 관계,"어떤 범위나 기준, 또는 일정한 기간 안에 속하거나 포함되다.",반에서 5등 안에 들다.,표준국어대사전 용례,,4,93761
relation-93761-9,어휘 관계,들다,,다의 관계,안에 담기거나 그 일부를 이루다.,빵 속에 든 단팥.,표준국어대사전 용례,,"4,5",93761
confusable-417767-1,어휘 관계,들르다,,혼동하기 쉬운 어휘: 들리다 / 들이다 / 들르다,지나는 길에 잠깐 들어가 머무르다.,친구 집에 들르다.,표준국어대사전 용례,들리다: 사람이나 동물의 감각 기관을 통해 소리가 알아차려지다. ‘듣다01[1]「1」’의 피동사. | 들이다: 집 안에서 부릴 사람을 고용하다.,24,417767
confusable-417768-1,어휘 관계,들리다,,혼동하기 쉬운 어휘: 들리다 / 들이다 / 들르다,사람이나 동물의 감각 기관을 통해 소리가 알아차려지다. ‘듣다01[1]「1」’의 피동사.,어디서 음악 소리가 들린다.,표준국어대사전 용례,들이다: 집 안에서 부릴 사람을 고용하다. | 들르다: 지나는 길에 잠깐 들어가 머무르다.,24,417768
confusable-417753-7,어휘 관계,들이다,null,혼동하기 쉬운 어휘: 들리다 / 들이다 / 들르다,집 안에서 부릴 사람을 고용하다.,장사가 잘돼서 일꾼을 가게에 들였다.,표준국어대사전 용례,들리다: 사람이나 동물의 감각 기관을 통해 소리가 알아차려지다. ‘듣다01[1]「1」’의 피동사. | 들르다: 지나는 길에 잠깐 들어가 머무르다.,24,417753
confusable-98529-1,어휘 관계,때다,,혼동하기 쉬운 어휘: 때다 / 떼다,아궁이 따위에 불을 지피어 타게 하다.,아궁이에 장작을 때다.,표준국어대사전 용례,떼다: 붙어 있거나 잇닿은 것을 떨어지게 하다.,24,98529
confusable-418583-1,어휘 관계,떼다,,혼동하기 쉬운 어휘: 때다 / 떼다,붙어 있거나 잇닿은 것을 떨어지게 하다.,벽에서 벽보를 떼다.,표준국어대사전 용례,때다: 아궁이 따위에 불을 지피어 타게 하다.,24,418583
relation-414491-3,어휘 관계,뜨다,,동음이의어 안에서 다의 관계,어떤 곳에 담겨 있는 물건을 퍼내거나 덜어 내다.,어머니는 간장 항아리에서 간장을 뜨고 계셨다.,표준국어대사전 용례,물속이나 지면 따위에서 가라앉거나 내려앉지 않고 물 위나 공중에 있거나 위쪽으로 솟아오르다. | 착 달라붙지 않아 틈이 생기다. | 물기 있는 물체가 제 훈김으로 썩기 시작하다. | 누룩이나 메주 따위가 발효하다. | 병 따위로 얼굴빛이 누르고 살갗이 부은 것처럼 되다. | 다른 곳으로 가기 위하여 있던 곳에서 다른 곳으로 떠나다. | 실 따위로 코를 얽어서 무엇을 만들다.,6,414491
relation-414491-4,어휘 관계,뜨다,,동음이의어 안에서 다의 관계,수저 따위로 음식을 조금 먹다.,먼 길 가는데 아무리 바빠도 한술 뜨고 가거라.,표준국어대사전 용례,물속이나 지면 따위에서 가라앉거나 내려앉지 않고 물 위나 공중에 있거나 위쪽으로 솟아오르다. | 착 달라붙지 않아 틈이 생기다. | 물기 있는 물체가 제 훈김으로 썩기 시작하다. | 누룩이나 메주 따위가 발효하다. | 병 따위로 얼굴빛이 누르고 살갗이 부은 것처럼 되다. | 다른 곳으로 가기 위하여 있던 곳에서 다른 곳으로 떠나다. | 실 따위로 코를 얽어서 무엇을 만들다.,6,414491
